Date,Open,High,Low,Close,Adj Close,Volume
2017-05-19,19691.599609,19836.199219,19691.599609,19812.800781,19812.800781,331685300
2017-05-22,19812.800781,19933.699219,19812.199219,19912.599609,19912.599609,297465000
2017-05-23,19912.599609,19984.699219,19898.900391,19920.099609,19920.099609,286820500
2017-05-24,19920.099609,19965.300781,19902.099609,19950.500000,19950.500000,333031100
2017-05-25,19950.500000,19994.300781,19901.300781,19967.599609,19967.599609,364323200
2017-05-26,19967.599609,20050.699219,19958.599609,20024.900391,20024.900391,557803400
2017-05-30,20024.900391,20028.099609,19944.000000,19991.900391,19991.900391,360800700
2017-05-31,19991.900391,20031.199219,19947.900391,19972.199219,19972.199219,508789000
2017-06-01,19972.199219,20057.599609,19951.000000,20010.599609,20010.599609,361003400
2017-06-02,20010.599609,20081.699219,19974.500000,20002.800781,20002.800781,457084300
2017-06-05,20002.800781,20048.199219,19863.300781,19868.699219,19868.699219,253756200
2017-06-06,19868.699219,19870.099609,19625.900391,19654.800781,19654.800781,362570400
2017-06-07,19654.800781,19769.599609,19654.800781,19695.900391,19695.900391,344822600
2017-06-08,19695.900391,19743.400391,19656.599609,19743.400391,19743.400391,345977900
2017-06-09,19743.400391,19791.500000,19552.800781,19770.000000,19770.000000,388607500
2017-06-12,19770.000000,19770.400391,19651.800781,19682.699219,19682.699219,306404000
2017-06-13,19682.699219,19897.800781,19682.699219,19859.500000,19859.500000,346666400
2017-06-14,19859.500000,20033.099609,19856.400391,19974.699219,19974.699219,347340000
2017-06-15,19974.699219,19976.800781,19403.300781,19553.699219,19553.699219,450817900
2017-06-16,19553.699219,19824.800781,19553.699219,19816.400391,19816.400391,855002200
2017-06-19,19818.000000,19907.900391,19810.099609,19873.300781,19873.300781,299467600
2017-06-20,19875.599609,19934.500000,19771.699219,19771.699219,19771.699219,363247200
2017-06-21,19774.400391,19783.300781,19649.900391,19682.599609,19682.599609,365669100
2017-06-22,19683.400391,19688.000000,19604.500000,19658.400391,19658.400391,343898500
2017-06-23,19660.000000,19705.599609,19618.599609,19685.099609,19685.099609,293691400
2017-06-26,19685.099609,19783.099609,19684.599609,19684.599609,19684.599609,272260100
2017-06-27,19686.199219,19686.199219,19505.099609,19526.800781,19526.800781,322602900
2017-06-28,19525.900391,19556.900391,19393.199219,19476.400391,19476.400391,402276600
2017-06-29,19476.199219,19536.800781,19306.000000,19346.400391,19346.400391,465769700
2017-06-30,19346.500000,19412.199219,19277.300781,19340.199219,19340.199219,400016100
2017-07-03,19338.599609,19437.000000,19267.800781,19320.400391,19320.400391,366809100
2017-07-04,19320.500000,19336.500000,19248.699219,19301.500000,19301.500000,326052400
2017-07-05,19301.400391,19451.199219,19290.099609,19451.199219,19451.199219,347856600
2017-07-06,19450.400391,19475.599609,19314.000000,19369.099609,19369.099609,332352600
2017-07-07,19370.900391,19395.099609,19291.699219,19395.099609,19395.099609,274386500
2017-07-10,19395.000000,19437.199219,19295.099609,19357.400391,19357.400391,353953100
2017-07-11,19357.300781,19406.099609,19183.199219,19215.400391,19215.400391,378823300
2017-07-12,19214.599609,19329.500000,19182.500000,19267.900391,19267.900391,429872900
2017-07-13,19267.800781,19420.699219,19266.900391,19418.300781,19418.300781,384031300
2017-07-14,19416.800781,19426.800781,19364.300781,19408.400391,19408.400391,274676000
2017-07-17,19408.800781,19534.199219,19407.300781,19520.599609,19520.599609,318416800
2017-07-18,19520.699219,19614.500000,19483.800781,19613.400391,19613.400391,368104600
2017-07-19,19612.599609,19693.900391,19563.800781,19693.900391,19693.900391,352984300
2017-07-20,19695.099609,19763.900391,19695.099609,19763.900391,19763.900391,302922800
2017-07-21,19762.599609,19812.099609,19647.400391,19751.199219,19751.199219,331611800
2017-07-24,19750.400391,19750.400391,19531.199219,19616.300781,19616.300781,0
2017-07-25,19616.300781,19699.599609,19601.800781,19641.300781,19641.300781,314294300
2017-07-26,19640.699219,19784.099609,19639.599609,19762.699219,19762.699219,324950600
2017-07-27,19761.199219,19899.800781,19755.900391,19879.400391,19879.400391,326316400
2017-07-28,19879.300781,19887.099609,19669.000000,19728.199219,19728.199219,270721700
2017-07-31,19726.800781,19812.000000,19726.800781,19781.099609,19781.099609,334634400
2017-08-01,19779.300781,19883.599609,19779.300781,19863.599609,19863.599609,305868100
2017-08-02,19863.500000,19934.400391,19816.500000,19841.400391,19841.400391,320659300
2017-08-03,19840.900391,19915.500000,19794.500000,19908.199219,19908.199219,336790400
2017-08-04,19907.199219,19978.300781,19835.300781,19969.699219,19969.699219,268014100
2017-08-07,19969.599609,20012.699219,19952.199219,19988.500000,19988.500000,254324900
2017-08-08,19988.300781,19988.800781,19940.099609,19949.500000,19949.500000,279932500
2017-08-09,19948.500000,19948.800781,19789.099609,19875.000000,19875.000000,314465900
2017-08-10,19875.000000,19879.699219,19691.199219,19699.400391,19699.400391,289474500
2017-08-11,19699.199219,19699.500000,19440.599609,19544.800781,19544.800781,351844200
2017-08-14,19545.099609,19704.699219,19545.000000,19692.500000,19692.500000,262964100
2017-08-15,19692.000000,19723.000000,19663.099609,19694.800781,19694.800781,244628100
2017-08-16,19694.800781,19867.800781,19694.300781,19859.199219,19859.199219,301557300
2017-08-17,19858.400391,19874.599609,19773.099609,19773.099609,19773.099609,255449700
2017-08-18,19773.500000,19773.500000,19566.900391,19626.500000,19626.500000,248066000
2017-08-21,19626.000000,19663.699219,19584.099609,19646.900391,19646.900391,232860200
2017-08-22,19646.699219,19759.599609,19646.699219,19751.199219,19751.199219,277867900
2017-08-23,19751.099609,19793.400391,19713.599609,19743.199219,19743.199219,252706800
2017-08-24,19742.699219,19767.699219,19670.699219,19710.300781,19710.300781,342482800
2017-08-25,19708.599609,19749.199219,19671.300781,19671.300781,19671.300781,283293000
2017-08-29,19671.300781,19673.900391,19472.699219,19527.900391,19527.900391,309148100
2017-08-30,19525.699219,19637.800781,19525.699219,19616.599609,19616.599609,260710000
2017-08-31,19616.400391,19803.599609,19614.300781,19803.599609,19803.599609,407036400
2017-09-01,19803.800781,19810.500000,19733.300781,19786.199219,19786.199219,319056300
2017-09-04,19786.199219,19786.199219,19686.400391,19697.900391,19697.900391,222929000
2017-09-05,19698.699219,19791.199219,19697.300781,19726.800781,19726.800781,271131300
2017-09-06,19726.000000,19729.800781,19593.300781,19652.300781,19652.300781,377004500
2017-09-07,19651.099609,19726.000000,19591.199219,19696.699219,19696.699219,341242900
2017-09-08,19696.500000,19696.500000,19531.099609,19610.400391,19610.400391,350469600
2017-09-11,19610.000000,19735.300781,19609.800781,19694.300781,19694.300781,269157900
2017-09-12,19695.599609,19750.500000,19643.599609,19665.900391,19665.900391,369510300
2017-09-13,19667.500000,19667.900391,19559.000000,19590.000000,19590.000000,357551300
2017-09-14,19592.900391,19675.099609,19512.000000,19523.900391,19523.900391,346885500
2017-09-15,19523.900391,19537.099609,19325.199219,19378.199219,19378.199219,592033800
2017-09-18,19378.199219,19449.500000,19378.199219,19437.900391,19437.900391,289045900
2017-09-19,19437.900391,19564.800781,19437.900391,19535.500000,19535.500000,313709300
2017-09-20,19535.500000,19567.300781,19523.199219,19540.800781,19540.800781,342321700
2017-09-21,19540.800781,19542.500000,19405.599609,19418.300781,19418.300781,281378200
2017-09-22,19418.300781,19517.400391,19345.599609,19517.400391,19517.400391,256744600
2017-09-25,19517.400391,19603.099609,19482.800781,19566.400391,19566.400391,263973300
2017-09-26,19566.400391,19567.599609,19470.699219,19503.199219,19503.199219,330059000
2017-09-27,19503.199219,19593.000000,19478.900391,19569.500000,19569.500000,323972200
2017-09-28,19569.500000,19678.500000,19569.500000,19678.500000,19678.500000,301576200
2017-09-29,19678.500000,19874.800781,19678.500000,19874.800781,19874.800781,367832600
2017-10-02,19874.800781,19957.099609,19874.300781,19957.099609,19957.099609,324500200
2017-10-03,19957.099609,20060.500000,19951.400391,20035.400391,20035.400391,296334700
2017-10-04,20035.400391,20045.500000,19978.400391,20029.400391,20029.400391,354704700
2017-10-05,20029.400391,20097.300781,19992.099609,20088.500000,20088.500000,294605700
2017-10-06,20088.500000,20175.800781,20088.500000,20166.500000,20166.500000,379163100
2017-10-09,20166.500000,20191.900391,20089.699219,20102.599609,20102.599609,269578600
2017-10-10,20102.599609,20171.599609,20100.500000,20146.300781,20146.300781,316623100
2017-10-11,20146.300781,20167.800781,20120.199219,20167.800781,20167.800781,351113000
2017-10-12,20167.800781,20251.199219,20157.400391,20251.199219,20251.199219,309996900
2017-10-13,20251.199219,20300.400391,20214.800781,20259.500000,20259.500000,326761200
2017-10-16,20259.500000,20268.599609,20200.800781,20217.099609,20217.099609,356849000
2017-10-17,20217.099609,20226.800781,20125.099609,20131.000000,20131.000000,349628500
2017-10-18,20131.000000,20287.900391,20130.699219,20259.800781,20259.800781,287172500
2017-10-19,20259.800781,20261.300781,20073.800781,20131.500000,20131.500000,420066500
2017-10-20,20131.500000,20194.500000,20131.500000,20146.900391,20146.900391,314514900
2017-10-23,20146.900391,20151.699219,20099.000000,20131.599609,20131.599609,249773600
2017-10-24,20131.599609,20150.800781,20084.400391,20113.199219,20113.199219,270495800
2017-10-25,20113.199219,20149.400391,20064.800781,20073.300781,20073.300781,274128600
2017-10-26,20073.300781,20166.900391,20057.900391,20163.400391,20163.400391,338654900
2017-10-27,20163.400391,20185.300781,20124.699219,20146.099609,20146.099609,268916600
2017-10-30,20146.099609,20244.099609,20110.800781,20213.300781,20213.300781,280109600
2017-10-31,20213.300781,20240.500000,20187.699219,20227.900391,20227.900391,289188900
2017-11-01,20227.900391,20419.300781,20227.900391,20328.199219,20328.199219,383788700
